scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_us,Bd_base,ratio_Bd,ev_us,ev_base,deaths_averted_us,deaths_averted_base,pct_of_portfolio_ev_us,portfolio_view
A_screening_only,True,low,14,Ebola-like viral haemorrhagic fever,0.001,0.05,51964104510.632935,1732088540.6025465,30.000836153881625,2598205.225531647,86604.42703012732,14718.435048108924,490.60080317059226,7.930830168906932,A_screening_only_with_avian
A_screening_only,True,low,14,Mpox-like orthopoxvirus,0.005,0.05,16163476730.378876,538739647.234667,30.00238949062961,4040869.182594719,134684.91180866674,4545.655692823492,151.50981231676363,12.334455687722249,A_screening_only_with_avian
A_screening_only,True,low,14,High-burden enteric outbreak,0.02,0.05,2026252109.731101,55967073.64774212,36.20436048674569,2026252.109731101,55967.07364774212,252.71061018496528,7.037563658567738,6.184985390589578,A_screening_only_with_avian
A_screening_only,True,base,2,SARS-like respiratory virus,0.02,0.2,7208721180.625837,240136917.41750735,30.01921261482921,28834884.72250335,960547.6696700294,1987.9112833678712,66.22130191598262,11.185855663886281,A_screening_only_with_avian
A_screening_only,True,base,2,Avian-influenza-like respiratory virus,0.01,0.15,117847571889.17776,3904122779.469406,30.185416429243027,176771357.83376664,5856184.169204109,33184.38772879105,1099.3408976633266,68.57453786505171,A_screening_only_with_avian
A_screening_only,True,base,2,Ebola-like viral haemorrhagic fever,0.005,0.2,10554186674.895939,351801365.43947506,30.000414187453494,10554186.674895938,351801.36543947505,2987.8590410958714,99.59392137991804,4.094263248535314,A_screening_only_with_avian
A_screening_only,True,base,2,Mpox-like orthopoxvirus,0.02,0.2,3163721997.596113,105453196.17316249,30.001195908761566,12654887.990384454,421812.78469264996,888.4595953531307,29.614138187233756,4.909183853702572,A_screening_only_with_avian
A_screening_only,True,base,2,High-burden enteric outbreak,0.1,0.2,1448227877.504879,40533645.990222424,35.7290305899011,28964557.550097585,810672.9198044486,174.8680917801579,4.901952291033176,11.23615936882411,A_screening_only_with_avian
A_screening_only,True,base,5,SARS-like respiratory virus,0.02,0.2,15376104197.0831,512072967.3061444,30.027174209120957,61504416.788332395,2048291.8692245777,4241.401743433187,141.2521832429569,13.097073815681208,A_screening_only_with_avian
A_screening_only,True,base,5,Avian-influenza-like respiratory virus,0.01,0.15,211137677487.59918,6981924842.150679,30.240611616575542,316706516.23139876,10472887.263226017,59454.942875154826,1966.0392559068287,67.44115036916739,A_screening_only_with_avian
A_screening_only,True,base,5,Ebola-like viral haemorrhagic fever,0.005,0.2,24093457353.387283,803100113.2425077,30.000565254698095,24093457.353387285,803100.1132425077,6821.576092350386,227.38157361756018,5.130587458755355,A_screening_only_with_avian
A_screening_only,True,base,5,Mpox-like orthopoxvirus,0.02,0.2,7298633230.114721,243274658.64189813,30.001617393525386,29194532.920458887,973098.6345675925,2050.3200569654364,68.34031811474293,6.216837304375851,A_screening_only_with_avian
A_screening_only,True,base,5,High-burden enteric outbreak,0.1,0.2,1905266917.2283173,52976298.698916554,35.96451552904134,38105338.34456635,1059525.9739783313,231.75554922550896,6.463851949066473,8.114351052020188,A_screening_only_with_avian
A_screening_only,True,base,10,SARS-like respiratory virus,0.02,0.2,24071200191.34854,801437536.7310243,30.03502966623241,96284800.76539417,3205750.146924097,6643.490041134066,221.1917080288843,15.187216851007424,A_screening_only_with_avian
