scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,conditional_Bd_raw,expected_annual_contribution,expected_deaths_averted_per_year,cost_per_arriving_flight_contribution,n_total,pct_of_portfolio_ev,portfolio_view
A_screening_only,True,high,5,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.03,0.35,0.010499999999999999,6981924842.150679,6981924842.150679,73310210.84258212,20.6434121870217,5021.247317985077,10000,73.20801674312045,A_screening_only_with_avian
A_screening_only,True,high,5,Ebola-like viral haemorrhagic fever,Ebola,0.02,0.4,0.008,803100113.2425077,803100113.2425077,6424800.905940061,1.8190525889404814,440.0548565712371,10000,6.415844762788149,A_screening_only_with_avian
A_screening_only,True,high,5,Mpox-like orthopoxvirus,Mpox,0.05,0.4,0.020000000000000004,243274658.64189813,243274658.64189813,4865493.172837963,1.3668063622948587,333.25295704369614,10000,4.858710697552183,A_screening_only_with_avian
A_screening_only,True,high,5,High-burden enteric outbreak,Norovirus,0.25,0.4,0.1,52976298.698916554,52976298.698916554,5297629.869891656,0.6463851949066474,362.8513609514833,10000,5.2902449980216595,A_screening_only_with_avian
A_screening_only,True,high,10,SARS-like respiratory virus,SARS-CoV-2,0.05,0.4,0.020000000000000004,801437536.7310243,801437536.7310243,16028750.73462049,4.423834160577687,1097.8596393575679,10000,11.894282219708424,A_screening_only_with_avian
A_screening_only,True,high,10,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.03,0.35,0.010499999999999999,8903850398.089415,8903850398.089415,93490429.17993884,26.32774821326147,6403.454053420468,10000,69.3754346747713,A_screening_only_with_avian
A_screening_only,True,high,10,Ebola-like viral haemorrhagic fever,Ebola,0.02,0.4,0.008,1386435750.2052023,1386435750.2052023,11091486.001641618,3.1409935349307543,759.6908220302478,10000,8.230539417805375,A_screening_only_with_avian
A_screening_only,True,high,10,Mpox-like orthopoxvirus,Mpox,0.05,0.4,0.020000000000000004,426595472.0427035,426595472.0427035,8531909.440854073,2.3981838894100598,584.3773589626077,10000,6.331182039241799,A_screening_only_with_avian
A_screening_only,True,high,10,High-burden enteric outbreak,Norovirus,0.25,0.4,0.1,56175592.903420955,56175592.903420955,5617559.290342096,0.6966731638186481,384.7643349549381,10000,4.168561648473092,A_screening_only_with_avian
A_screening_only,True,high,14,SARS-like respiratory virus,SARS-CoV-2,0.05,0.4,0.020000000000000004,937837818.2255151,937837818.2255151,18756756.364510305,5.179288367920622,1284.7093400349524,10000,12.71369768564234,A_screening_only_with_avian
A_screening_only,True,high,14,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.03,0.35,0.010499999999999999,9385419840.594383,9385419840.594383,98546908.32624102,27.75365548438248,6749.788241523357,10000,66.79702907935321,A_screening_only_with_avian
A_screening_only,True,high,14,Ebola-like viral haemorrhagic fever,Ebola,0.02,0.4,0.008,1732088540.6025465,1732088540.6025465,13856708.324820371,3.9248064253647383,949.0896112890665,10000,9.392348929435437,A_screening_only_with_avian
A_screening_only,True,high,14,Mpox-like orthopoxvirus,Mpox,0.05,0.4,0.020000000000000004,538739647.234667,538739647.234667,10774792.944693342,3.030196246335273,737.9995167598179,10000,7.303366182407603,A_screening_only_with_avian
A_screening_only,True,high,14,High-burden enteric outbreak,Norovirus,0.25,0.4,0.1,55967073.64774212,55967073.64774212,5596707.364774212,0.7037563658567738,383.33612087494606,10000,3.7935581231613993,A_screening_only_with_avian
