pathogen,prevalence_tier,follow_up_modality,wbe_false_positive_rate,follow_up_coverage,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,wbe_detection_prob_q,wbe_cost_per_sample,uc_total_cost,wbe_total_cost,delta_c_wbe_minus_uc,wbe_cheaper
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.95,25,496820393.8074452,940710844.2955427,443890450.4880975,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.95,40,496820393.8074452,940927094.2919072,444106700.48446196,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.95,60,496820393.8074452,941215427.620393,444395033.8129478,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.95,100,496820393.8074452,941792094.2773682,444971700.46992296,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.95,150,496820393.8074452,942512927.5985864,445692533.7911412,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.05,10,496820393.8074452,1317104108.103765,820283714.2963197,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.05,15,496820393.8074452,1317176191.4358854,820355797.6284401,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.05,25,496820393.8074452,1317320358.100129,820499964.2926836,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.05,40,496820393.8074452,1317536608.0964947,820716214.2890494,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.05,60,496820393.8074452,1317824941.4249818,821004547.6175365,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.05,100,496820393.8074452,1318401608.0819566,821581214.2745113,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.05,150,496820393.8074452,1319122441.4031737,822302047.5957284,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.1,10,496820393.8074452,1256887911.0854638,760067517.2780185,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.1,15,496820393.8074452,1256959994.4175837,760139600.6101384,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.1,25,496820393.8074452,1257104161.0818274,760283767.2743821,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.1,40,496820393.8074452,1257320411.0781941,760500017.2707489,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.1,60,496820393.8074452,1257608744.4066806,760788350.5992353,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.1,100,496820393.8074452,1258185411.0636551,761365017.2562099,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.1,150,496820393.8074452,1258906244.384873,762085850.5774276,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.15,10,496820393.8074452,1201375489.7067878,704555095.8993425,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.15,15,496820393.8074452,1201447573.03891,704627179.2314646,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.15,25,496820393.8074452,1201591739.7031524,704771345.8957071,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.15,40,496820393.8074452,1201807989.6995192,704987595.8920739,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.15,60,496820393.8074452,1202096323.0280054,705275929.2205601,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.15,100,496820393.8074452,1202672989.6849797,705852595.8775344,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.15,150,496820393.8074452,1203393823.0061965,706573429.1987512,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.2,10,496820393.8074452,1150174134.802599,653353740.9951537,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.2,15,496820393.8074452,1150246218.1347213,653425824.327276,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.2,25,496820393.8074452,1150390384.798964,653569990.9915187,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.2,40,496820393.8074452,1150606634.7953303,653786240.987885,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.2,60,496820393.8074452,1150894968.1238153,654074574.31637,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.2,100,496820393.8074452,1151471634.7807906,654651240.9733453,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.2,150,496820393.8074452,1152192468.1020103,655372074.294565,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.25,10,496820393.8074452,1102926540.325434,606106146.5179887,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.25,15,496820393.8074452,1102998623.6575553,606178229.85011,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.25,25,496820393.8074452,1103142790.3217978,606322396.5143526,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.25,40,496820393.8074452,1103359040.3181627,606538646.5107174,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.25,60,496820393.8074452,1103647373.6466513,606826979.839206,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.25,100,496820393.8074452,1104224040.3036258,607403646.4961805,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.25,150,496820393.8074452,1104944873.6248426,608124479.8173974,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.3,10,496820393.8074452,1059307483.2878397,562487089.4803944,False
